Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],time_interval
Colombia,COL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3695.8058033367,3693.73055719167,3767.67727596051,3893.07450094047,4039.99396090115,4170.45769478911,4179.22619956978,4246.15665513863,4196.920348678,3953.729993661,4003.98516870923,4007.52804904426,4045.30674640602,4142.00770230701,4301.03504166806,4447.56681730383,4685.05458534514,4939.11795636568,5042.06114517198,5042.14495831618,5209.73247012375,5511.09985211242,5667.49875003951,5899.76791918604,6107.08301924277,6228.65162110371,6291.0796974505,6280.89105010627,6320.99074680751,6404.10876497266,5857.17255605459,6416.00840958458,6836.22873742474,6850.19634550672,1.86993547099753
Comoros,COM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1227.13858987929,1131.638167814,1199.13218264263,1207.64498411439,1119.37367619677,1135.13490277213,1096.60718491042,1116.53061874269,1106.90329986348,1105.7366886908,1202.13138364027,1205.50918252879,1208.5899294393,1210.02852574084,1209.86311527893,1219.99123369987,1227.48289791482,1212.75172635576,1235.6528199734,1249.83940486739,1270.3026557862,1295.2043922,1307.97303215032,1337.3977265743,1336.48970325462,1322.93677605288,1337.52787006698,1360.43118681849,1383.37787346626,1381.62223950494,1352.95549301356,1355.53881276192,1362.77802212059,1374.45505620567,0.343552182621655
"Congo, Dem. Rep.",COD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,817.080969190176,723.98664124724,628.739888075039,526.892883644427,482.788909339966,466.245757410296,452.763057634669,420.62413949497,404.115483123004,375.950524825927,339.969449284409,322.93003714483,322.440051961766,330.548987183774,342.459997388541,352.321229809401,359.428071688367,369.840754154091,380.494910456936,379.054881049662,393.02745089116,406.201028743869,420.629365516991,441.012978269866,466.424946756231,482.064568638238,476.814904653245,477.847891218238,489.382374635897,494.81924776865,487.433133172625,501.239088458485,528.788834504898,555.799098699391,-1.16767060535091
"Congo, Rep.",COG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2358.93630003875,2349.2222477151,2345.28935208529,2256.77496599703,2072.83919656271,2098.00077660185,2130.30752968749,2073.96408228555,2105.96997567458,1997.52750127647,2068.3839129759,2067.81419342021,2112.53401978075,2071.57206718518,2071.98343867456,2153.76096711042,2240.08353237627,2016.30953880935,2073.6137914834,2223.77623292534,2345.1114072464,2320.33345567464,2481.29466642524,2405.03348396851,2504.29262574217,2455.34085824476,2189.16272253619,2017.85395607813,1924.71880170369,1901.05599305146,1740.82734180348,1718.23080995061,1704.26748419599,1697.96121922312,-0.996310753251194
Costa Rica,CRI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5967.19094183268,5949.49634023273,6335.51657007134,6618.92110773187,6751.91925524745,6867.63767218811,6801.65542072361,7014.53006065402,7355.15363564155,7507.96538102022,7646.02737177608,7768.43895498405,7898.63313789409,8109.82489719484,8340.82985214551,8545.74727395582,9041.38679579351,9647.86089474902,9966.0484404789,9746.49069601726,10137.5821702895,10453.5225661682,10832.7567617685,10975.6963726441,11240.7115867772,11529.9551730192,11893.323254213,12267.1620386503,12470.9574208108,12662.4228535715,12030.0485934011,12906.9970447409,13424.464701378,14025.8564535929,2.58977644875568
Cote d'Ivoire,CIV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1909.8280596281,1839.75243648647,1768.20255425687,1701.4329997109,1654.85928750744,1711.11094912208,1779.74206994643,1884.72198888328,1900.21338090466,1865.123050913,1809.9208007197,1725.15594158154,1636.44695138318,1521.88484247584,1534.07671706097,1514.62055818381,1523.23305807737,1507.0895959785,1545.88009290163,1568.02113626619,1640.31503436099,1520.34230277722,1602.91092359677,1739.15519489133,1858.61535346662,1941.58189765549,2027.83397580544,2122.50261940544,2168.9134420144,2256.83795553384,2216.32725307011,2315.32192748096,2399.69993821474,2493.45561015491,0.808049475007548
Croatia,HRV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,9756.07320762554,7843.69749265732,7096.26286903333,6491.78223496281,6796.70466679719,7306.30706518157,7855.13999085208,8380.53717453888,8574.1113790571,8537.53310140901,8877.06198270207,9513.18667689447,10060.9843288304,10621.3382676193,11062.217478791,11523.8771567415,12106.0773705568,12723.2435030642,12981.7342458991,12057.74381667,11937.098030154,11971.4067507245,11732.0783419948,11728.6998899248,11736.3348824454,12135.1036186683,12666.0872076662,13250.4107171878,13768.18944713,14321.3344788474,13157.9724255737,15520.7974934349,16712.0360519694,17234.4810868316,1.72430941584735
Cuba,CUB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4963.84738250901,4397.02541230959,3862.60959378507,3270.57973992997,3280.02718332131,3348.47663366952,3598.98978079738,3687.35992978072,3681.3024503628,3896.29809354724,4113.4902753527,4231.80366203398,4280.2167334089,4430.98453902849,4675.78877189456,5189.92860406232,5808.64073457228,6225.3545178506,6477.77794405304,6567.96015470346,6720.64991517329,6903.91170541987,7105.4043292251,7292.70813411035,7362.31125920052,7683.74025365669,7721.70356978028,7865.33860875385,8047.94103064616,8043.01419726511,7172.51792767657,7291.0377716217,7449.68287994077,..,..
Curacao,CUW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,21523.6458973702,22171.0655460422,22231.8793091625,21840.8913168396,21512.1116035171,21112.3219220136,20913.6630394407,21011.1570622011,21202.4305115575,20952.8998451864,20706.4374577658,20518.0986087103,20277.5111916571,19921.4770634064,19529.5286704975,19361.8130008678,18953.0537415003,18651.4798142441,18355.1767135889,17980.5298177114,14974.3256723655,15867.2457470625,17391.6157780585,..,..
Cyprus,CYP,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,17144.388671875,16829.833984375,17928.45703125,17623.201171875,18280.935546875,19453.755859375,19385.203125,19617.09375,20562.1953125,21349.64453125,22383.857421875,23019.138671875,23604.0703125,23930.66015625,24799.537109375,25631.255859375,26395.400390625,27156.671875,27449.03125,26183.451171875,26090.037109375,25538.771484375,24285.486328125,22738.48046875,22581.81640625,23487.21875,24916.619140625,26101.28515625,27241.064453125,28362.083984375,27076.740234375,29484.400390625,30556.71875,30768.919921875,1.77222472159824
Czechia,CZE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,11626.6258716528,10300.8991599512,10238.2476845601,10233.9421858953,10527.8756898085,11219.1500652457,11711.3154124611,11663.17381617,11632.6028956161,11805.6718407762,12312.497769842,12734.9220286548,12959.8174813078,13428.099616179,14070.2804589818,14978.4131869153,15948.7452897204,16739.1787158121,17046.8850268926,16160.6205565942,16505.9537034372,16761.8273125123,16606.9925391504,16593.8642307285,16951.3791150445,17829.6983223668,18247.0117295456,19139.2398841383,19689.5827032979,20206.4256384905,19048.0868543829,20085.5160696325,20237.2945527073,19800.27922057,1.61332799402724
Denmark,DNK,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,39295.2434424919,39739.6098511225,40383.5587756081,40253.5398981286,42257.0983305221,43310.2500901054,44314.7904987137,45570.0798221242,46412.038971456,47622.4390779319,49241.9280041345,49469.6888088275,49541.8555503286,49599.9969640753,50792.00095345,51835.8327062445,53687.4415474978,53935.8702479631,53345.3576182976,50457.2324892863,51173.4661587111,51644.4635097775,51567.0401502519,51831.7979309232,52404.7639713382,53254.8563700916,54556.0689545694,55735.7649011485,56563.4884729669,57203.0277943447,55653.587445315,59205.6466881475,60345.5573176803,61031.8137139511,1.33421753018853
Djibouti,DJI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2167.20245692426,2279.57759541412,2409.31190224284,2538.05401932202,2632.91333316916,2714.35164845975,2820.06286565541,2814.82622084057,2901.13711251222,2968.25154583978,3122.94931037635,..
